id,silhouette_score,eps,min_samples,algorithm,min_samples,procent_cal
149,0.8428169683514102,0.2,euclidean,brute,20,0.91625
150,-1,0.2,euclidean,brute,25,1.0
151,0.10551145323511579,0.3,euclidean,brute,5,0.000625
152,0.09364398124932814,0.3,euclidean,brute,10,0.03625
153,0.2598436707844185,0.3,euclidean,brute,15,0.158125
154,0.438628860849418,0.3,euclidean,brute,20,0.396875
155,0.44680686019708676,0.3,euclidean,brute,25,0.594375
156,0.06547974238735041,0.4,euclidean,brute,5,0.0
157,0.06535461658580653,0.4,euclidean,brute,10,0.001875
158,0.06651135955043706,0.4,euclidean,brute,15,0.01
159,0.1947622793684552,0.4,euclidean,brute,20,0.03875
160,0.41405885194124115,0.4,euclidean,brute,25,0.156875
161,0.8204414882923589,0.1,l1,auto,5,0.76125
162,0.9863265187590117,0.1,l1,auto,10,0.985625
163,-1,0.1,l1,auto,15,1.0
164,-1,0.1,l1,auto,20,1.0
165,-1,0.1,l1,auto,25,1.0
166,0.3611333658365748,0.2,l1,auto,5,0.188125
167,0.5078362533473202,0.2,l1,auto,10,0.661875
168,0.857950658349554,0.2,l1,auto,15,0.938125
169,0.9698653599214957,0.2,l1,auto,20,0.97375
170,-1,0.2,l1,auto,25,1.0
171,-0.19330103801717322,0.3,l1,auto,5,0.0075
172,0.246196220616447,0.3,l1,auto,10,0.1775
173,0.39029281947549255,0.3,l1,auto,15,0.52875
174,0.4959429861777547,0.3,l1,auto,20,0.72375
175,0.6406477715378767,0.3,l1,auto,25,0.850625
176,0.06550765047422842,0.4,l1,auto,5,0.000625
177,0.1597358019502662,0.4,l1,auto,10,0.011875
178,0.15008796434336355,0.4,l1,auto,15,0.099375
179,0.3800561008286193,0.4,l1,auto,20,0.29625
180,0.42864409119479124,0.4,l1,auto,25,0.533125
181,0.8204414882923589,0.1,l1,ball_tree,5,0.76125
182,0.9863265187590117,0.1,l1,ball_tree,10,0.985625
183,-1,0.1,l1,ball_tree,15,1.0
184,-1,0.1,l1,ball_tree,20,1.0
185,-1,0.1,l1,ball_tree,25,1.0
186,0.3611333658365748,0.2,l1,ball_tree,5,0.188125
187,0.5078362533473202,0.2,l1,ball_tree,10,0.661875
188,0.857950658349554,0.2,l1,ball_tree,15,0.938125
189,0.9698653599214957,0.2,l1,ball_tree,20,0.97375
190,-1,0.2,l1,ball_tree,25,1.0
191,-0.19330103801717322,0.3,l1,ball_tree,5,0.0075
192,0.246196220616447,0.3,l1,ball_tree,10,0.1775
193,0.39029281947549255,0.3,l1,ball_tree,15,0.52875
194,0.4959429861777547,0.3,l1,ball_tree,20,0.72375
195,0.6406477715378767,0.3,l1,ball_tree,25,0.850625
196,0.06550765047422842,0.4,l1,ball_tree,5,0.000625
197,0.1597358019502662,0.4,l1,ball_tree,10,0.011875
198,0.15008796434336355,0.4,l1,ball_tree,15,0.099375
199,0.3800561008286193,0.4,l1,ball_tree,20,0.29625
200,0.42864409119479124,0.4,l1,ball_tree,25,0.533125
201,0.8204414882923589,0.1,l1,kd_tree,5,0.76125
202,0.9863265187590117,0.1,l1,kd_tree,10,0.985625
203,-1,0.1,l1,kd_tree,15,1.0
204,-1,0.1,l1,kd_tree,20,1.0
205,-1,0.1,l1,kd_tree,25,1.0
206,0.3611333658365748,0.2,l1,kd_tree,5,0.188125
207,0.5078362533473202,0.2,l1,kd_tree,10,0.661875
208,0.857950658349554,0.2,l1,kd_tree,15,0.938125
209,0.9698653599214957,0.2,l1,kd_tree,20,0.97375
210,-1,0.2,l1,kd_tree,25,1.0
211,-0.19330103801717322,0.3,l1,kd_tree,5,0.0075
212,0.246196220616447,0.3,l1,kd_tree,10,0.1775
213,0.39029281947549255,0.3,l1,kd_tree,15,0.52875
214,0.4959429861777547,0.3,l1,kd_tree,20,0.72375
